00000001   '          號
00000002   ''         的
00000003   ',         ，
00000004   ',         ㄝ
00000005   '-         ㄦ
00000006   '-         ﹏
00000007   '-         ﹌
00000008   '.         。
00000009   '.         ㄡ
00000010   '/         ？
00000011   '/         ㄥ
00000012   '0         ）
00000013   '0         ㄢ
00000014   '1         ！
00000015   '1         ㄅ
00000016   '2         ㄉ
00000017   '2         ＠
00000018   '3         ˇ
00000019   '3         ＃
00000020   '4         ˋ
00000021   '4         ＄
00000022   '5         ㄓ
00000023   '5         ％
00000024   '6         ˊ
00000025   '7         ˙
00000026   '7         ＆
00000027   '8         ㄚ
00000028   '8         ＊
00000029   '8         ﹡
00000030   '8         ∞
00000031   '9         （
00000032   '9         ㄞ
00000033   ';         ：
00000034   ';         ；
00000035   ';         ㄤ
00000036   '=         〒
00000037   '[         「
00000038   '[[        『
00000039   '\         ︴
00000040   ']         」
00000041   ']]        』
00000042   '`         ～
00000043   'a         ㄇ
00000044   'b         ㄖ
00000045   'c         ㄏ
00000046   'd         ㄎ
00000047   'e         ㄍ
00000048   'f         ㄑ
00000049   'g         ㄕ
00000050   'h         ㄘ
00000051   'i         ㄛ
00000052   'j         ㄨ
00000053   'k         ㄜ
00000054   'l         ㄠ
00000055   'm         ㄩ
00000056   'n         ㄙ
00000057   'o         ㄟ
00000058   'p         ㄣ
00000059   'q         ㄆ
00000060   'r         ㄐ
00000061   's         ㄋ
00000062   't         ㄔ
00000063   'u         ㄧ
00000064   'v         ㄒ
00000065   'w         ㄊ
00000066   'x         ㄌ
00000067   'y         ㄗ
00000068   'z         ㄈ
00000069   ,          力
00000070   ,,,        劦
00000071   ,,,        脅
00000072   ,,,        勰
00000073   ,,,        姭
00000074   ,,,        猜猜猜
00000075   ,,,j       脅
00000076   ,,,l       姭
00000077   ,,,z       勰
00000078   ,,.l       狼狽為奸
00000079   ,,8        狐狸精
00000080   ,,f        狠狠地
00000081   ,,hf       狼狽不堪
00000082   ,,j        脅
00000083   ,,l        姭
00000084   ,,v        猜猜看
00000085   ,,z        勰
00000086   ,.         獄
00000087   ,.,5       狩獵
00000088   ,.1        獲准許
00000089   ,.5rw      加州理工學院
00000090   ,.6        獄門
00000091   ,.ex       獄吏
00000092   ,.k        狼
00000093   ,.ks       獄卒
00000094   ,.o1       獄中
00000095   ,.r        狼
00000096   ,.rk       狼
00000097   ,.ty       獨資經營
00000098   ,//        獨樂樂
00000099   ,//hl      獨樂樂不如眾樂樂
00000100   ,/0        狿
00000101   ,/1        猈
00000102   ,/1a       獨自一人
00000103   ,/9        狿
00000104   ,/90       狿
00000105   ,/c        犰
00000106   ,/d        猈
00000107   ,/d        獥
00000108   ,/d1       猈
00000109   ,/dx       獥
00000110   ,/e        加答爾
00000111   ,/x        獥
00000112   ,/xe       狗血淋頭
00000113   ,0         狐
00000114   ,0,0       逛逛
00000115   ,0,f       狐狸
00000116   ,0/.       狐臭
00000117   ,0/i       狐魅
00000118   ,01        犯錯誤
00000119   ,0a        加鉛條
00000120   ,0aw       狐仙
00000121   ,0c9       狐疑
00000122   ,0ej       逛街
00000123   ,0l3       狐媚
00000124   ,0ss       迦南
00000125   ,0ta       迦納
00000126   ,1         狺
00000127   ,1         獅
00000128   ,1,        猜一猜
00000129   ,1,        逛一逛
00000130   ,1,1       狒狒
00000131   ,1,1       狺狺
00000132   ,1.        獄
00000133   ,122       獨一無二
00000134   ,15        獅王
00000135   ,15q       狎玩
00000136   ,15u       狎弄
00000137   ,1bg       獅子
00000138   ,1e        獲許可
00000139   ,1e8       獅頭
00000140   ,1h        鸑
00000141   ,1lx       狎妓
00000142   ,1mo       狎客
00000143   ,1oc       獅吼
00000144   ,1r        獀
00000145   ,1rp       狎邪
00000146   ,1t1       狂言綺語
00000147   ,1v        獄
00000148   ,1v        鸑
00000149   ,1v.       獄
00000150   ,1vh       鸑
00000151   ,1w        獀
00000152   ,1wx       獀
00000153   ,1x        獀
00000154   ,2/        獨特的
00000155   ,26        賀年片
00000156   ,29        賀年卡
00000157   ,2b        獨生子
00000158   ,2bj       猴年馬月
00000159   ,2c        犵
00000160   ,2e        狌
00000161   ,2l        獨生女
00000162   ,2m        猘
00000163   ,2mn       猘
00000164   ,2n        猘
00000165   ,2o        賀年咭
00000166   ,31i       獨具一格
00000167   ,33        玃
00000168   ,33x       玃
00000169   ,38        狽
00000170   ,3f3       獨具慧眼
00000171   ,3k        獨眼龍
00000172   ,3o3       獨具只眼
00000173   ,3x        玃
00000174   ,4;        獨
00000175   ,4b        獨
00000176   ,4b;       獨
00000177   ,4e        獧
00000178   ,4e.       犯罪行為
00000179   ,4ek       獧
00000180   ,4f        玀
00000181   ,4k        獧
00000182   ,4kaw      犯罪社會學
00000183   ,4o        力點
00000184   ,4t        玀
00000185   ,4tf       玀
00000186   ,4w        犯罪學
00000187   ,4z5w      犯罪心理學
00000188   ,5         狂
00000189   ,5         狅
00000190   ,5,j       狂狷
00000191   ,5,o       獵狗
00000192   ,5,x       獵獲
00000193   ,5.x       狂放
00000194   ,5/a       狂笑
00000195   ,5/d       狂簡
00000196   ,50        逛
